id,skill_raw,taxonomy_id,skill_name,confidence_score,match_status
1,gestão de pessoas,0,Gestão de Pessoas,0.7005039,matched
2,People Management,0,Gestão de Pessoas,0.7338302,matched
3,SQL,31,SQL,0.7017696,matched
4,sql avançado,31,SQL,0.72010183,matched
5,machine learning,39,Machine Learning,0.80590385,matched
6,comunicação assertiva,1,Comunicação Assertiva,0.7490694,matched
7,python,30,Python,0.6242019,no_match
8,PYTHON,30,Python,0.6242019,no_match
9,análise de dados,38,Análise de Dados,0.8053319,matched
10,resolução de conflitos,2,Resolução de Conflitos,0.7446522,matched
11,power bi,75,Power BI,0.63925445,no_match
12,PowerBI,75,Power BI,0.49551636,no_match
13,espiritualidade,3,Inteligência Emocional,0.30305058,no_match
14,excel avançado,77,Excel Avançado,0.555405,no_match
15,scrum,18,Metodologias Ágeis,0.3228929,no_match
16,Metodologias Ágeis,54,Modelagem de Dados,0.4850211,no_match
17,storytelling com dados,20,Storytelling com Dados,0.849888,matched
18,pensamento crítico,5,Pensamento Crítico,0.6057662,no_match
19,Critical Thinking,5,Pensamento Crítico,0.64742017,no_match
20,versionamento de código,71,Versionamento de Código,0.49423474,no_match
21,Git,89,OKRs,0.26493332,no_match
22,cloud computing,67,Azure,0.7586185,matched
23,AWS,65,AWS,0.36063612,no_match
24,engenharia de dados,50,Engenharia de Dados,0.76276076,matched
25,ETL,89,OKRs,0.4516797,no_match
26,visão de produto,13,Visão de Produto,0.7289455,matched
27,Product Sense,13,Visão de Produto,0.678504,no_match
28,Alinhamento com o universo,12,Colaboração,0.3139963,no_match
29,inteligência emocional,3,Inteligência Emocional,0.82606864,matched
30,negociação,4,Negociação,0.7412806,matched
31,data governance,50,Engenharia de Dados,0.57916653,no_match
32,feature extraction,44,Engenharia de Features,0.45154005,no_match
33,auto-organização,10,Autogestão,0.64125115,no_match
34,excel básico,77,Excel Avançado,0.6635436,no_match
35,SQL,31,SQL,0.7017696,matched
36,trabalho colaborativo,12,Colaboração,0.78602123,matched
37,emotional regulation,3,Inteligência Emocional,0.65402484,no_match
38,risk management,92,Gestão de Riscos,0.7754713,matched
39,cash flow analysis,90,Análise Financeira,0.64257073,no_match
40,imagens docker,47,Visão Computacional,0.46275496,no_match
41,micro services,74,Microsserviços,0.72569025,matched
42,orientação a dados,38,Análise de Dados,0.75608873,matched
43,modelos de embedding,54,Modelagem de Dados,0.5349907,no_match
44,statistical experimentation,48,Estatística Aplicada,0.6184641,no_match
45,gestão de capital humano,0,Gestão de Pessoas,0.5434453,no_match
46,empathy mapping,3,Inteligência Emocional,0.54482603,no_match
47,infrastructure automation,68,Infrastructure as Code,0.5940874,no_match
48,versatilidade,8,Adaptabilidade,0.44600976,no_match
49,supporting growth,95,Desenvolvimento Organizacional,0.5623629,no_match
50,BDD,79,dbt,0.31727535,no_match
51,redação profissional,22,Escrita Profissional,0.71680653,matched
52,DCF,79,dbt,0.35884863,no_match
53,git,89,OKRs,0.26493335,no_match
54,negotiation tactics,4,Negociação,0.80496293,matched
55,organização pessoal,0,Gestão de Pessoas,0.5865493,no_match
56,python avançado,30,Python,0.65600616,no_match
57,data schema,54,Modelagem de Dados,0.64912665,no_match
58,gerenciamento de projetos,17,Gestão de Projetos,0.88370097,matched
59,multivariate testing,49,Experimentação e Testes A/B,0.58284914,no_match
60,independent execution,10,Autogestão,0.5186465,no_match
61,vector databases,38,Análise de Dados,0.507025,no_match
62,people manager,0,Gestão de Pessoas,0.6165685,no_match
63,personal organization,0,Gestão de Pessoas,0.55698377,no_match
64,desenvolvimento de APIs,85,Hugging Face,0.43162107,no_match
65,power bi,75,Power BI,0.63925445,no_match
66,dealing with change,27,Gestão de Mudanças,0.6149857,no_match
67,hive,6,Resolução de Problemas,0.18026593,no_match
68,continuous integration,64,CI/CD,0.519969,no_match
69,mentalidade de dono,29,Empreendedorismo,0.6402211,no_match
70,version control,73,Arquitetura de Software,0.3127636,no_match
71,spark SQL,31,SQL,0.577907,no_match
72,balance sheet analysis,54,Modelagem de Dados,0.41401124,no_match
73,object detection,69,Monitoramento e Observabilidade,0.44399112,no_match
74,employee development,95,Desenvolvimento Organizacional,0.60361475,no_match
75,managing group dynamics,19,Facilitação,0.58774495,no_match
76,OLAP,85,Hugging Face,0.29778454,no_match
77,js,89,OKRs,0.28917113,no_match
78,tech lead,24,Liderança Técnica,0.603106,no_match
79,orquestração de workflows,52,Orquestração de Pipelines,0.5176701,no_match
80,negociação comercial,4,Negociação,0.6080396,no_match
81,visualização de dados,38,Análise de Dados,0.6959652,no_match
82,promover cultura,99,Cultura Organizacional,0.66523564,no_match
83,gerenciamento de times,9,Gestão do Tempo,0.7161389,matched
84,LGPD compliance,93,Compliance e Regulação,0.49494725,no_match
85,aprendizado não supervisionado,39,Machine Learning,0.6167136,no_match
86,fluxo de caixa descontado,52,Orquestração de Pipelines,0.48550892,no_match
87,langchain,82,LangChain,0.45353383,no_match
88,priorização,7,Tomada de Decisão,0.49031794,no_match
89,validação de modelos,45,Avaliação de Modelos,0.59751374,no_match
90,team conflict resolution,2,Resolução de Conflitos,0.7558018,matched
91,APM,9,Gestão do Tempo,0.3063571,no_match
92,mudança organizacional,27,Gestão de Mudanças,0.7543138,matched
93,integridade de dados,56,Qualidade de Dados,0.70583725,matched
94,pipeline de ML,52,Orquestração de Pipelines,0.60546327,no_match
95,busca vetorial,43,Embeddings e Busca Vetorial,0.51054895,no_match
96,image processing,47,Visão Computacional,0.6983366,no_match
97,pensar como empreendedor,29,Empreendedorismo,0.626572,no_match
98,people leadership,0,Gestão de Pessoas,0.66197896,no_match
99,automação de workflows,9,Gestão do Tempo,0.5181299,no_match
100,model monitoring,69,Monitoramento e Observabilidade,0.62467486,no_match
101,real-time processing,53,Streaming de Dados,0.6243255,no_match
102,transformers architecture,73,Arquitetura de Software,0.33960587,no_match
103,deep learning,40,Deep Learning,0.6803496,no_match
104,transformar dados em histórias,20,Storytelling com Dados,0.7977359,matched
105,apache spark,80,Spark,0.71351635,matched
106,estratégia de branches,16,Pensamento Estratégico,0.6815452,no_match
107,SOLID principles,4,Negociação,0.3005135,no_match
108,gestão emocional,3,Inteligência Emocional,0.7173753,matched
109,named entity recognition,25,Gestão de Stakeholders,0.36710528,no_match
110,análise de dados avançada,38,Análise de Dados,0.7656785,matched
111,test-driven development,72,Testes Automatizados,0.6618289,no_match
112,seleção de candidatos,94,Recrutamento e Seleção,0.58533704,no_match
113,sourcing de talentos,11,Aprendizado Contínuo,0.5424051,no_match
114,hdfs,59,Redis,0.4710118,no_match
115,busca semântica,43,Embeddings e Busca Vetorial,0.4205182,no_match
116,google cloud services,66,Google Cloud Platform,0.7643035,matched
117,container,62,Docker,0.5103897,no_match
118,retrieval augmented generation,59,Redis,0.4734978,no_match
119,fórmulas excel,77,Excel Avançado,0.55864555,no_match
120,seleção de candidatos,94,Recrutamento e Seleção,0.58533716,no_match
121,psql,31,SQL,0.54455423,no_match
122,excel,77,Excel Avançado,0.6529067,no_match
123,spark streaming,80,Spark,0.581047,no_match
124,definir estratégia,16,Pensamento Estratégico,0.7115734,matched
125,apache airflow,80,Spark,0.49470425,no_match
126,risk assessment,92,Gestão de Riscos,0.71390486,matched
127,DCF,79,dbt,0.35884863,no_match
128,kubernetes scaling,63,Kubernetes,0.47479206,no_match
129,pull request,15,Foco no Cliente,0.27232727,no_match
130,javascript backend,34,JavaScript,0.72664297,matched
131,text processing,41,Processamento de Linguagem Natural,0.59339416,no_match
132,estatística aplicada,48,Estatística Aplicada,0.5179212,no_match
133,user research,87,UX Research,0.545556,no_match
134,product discovery,49,Experimentação e Testes A/B,0.473157,no_match
135,data workflow management,50,Engenharia de Dados,0.5737059,no_match
136,named entity recognition,25,Gestão de Stakeholders,0.36710525,no_match
137,gestão de performance,96,Gestão de Desempenho,0.7617484,matched
138,autoconsciência emocional,3,Inteligência Emocional,0.7268451,matched
139,product strategy,86,Gestão de Produto,0.7261097,matched
140,quantitative thinking,14,Orientação a Dados,0.53500247,no_match
141,construção de APIs,85,Hugging Face,0.3725332,no_match
142,learning new skills,11,Aprendizado Contínuo,0.7006341,matched
143,análise de texto,41,Processamento de Linguagem Natural,0.5940454,no_match
144,distributed computing spark,80,Spark,0.6064236,no_match
145,métricas,54,Modelagem de Dados,0.36854267,no_match
146,comunicação transparente,1,Comunicação Assertiva,0.43278593,no_match
147,estratégia de produto,86,Gestão de Produto,0.7222539,matched
148,google cloud,66,Google Cloud Platform,0.7244525,matched
149,python para dados,30,Python,0.71036243,matched
150,data engineering,50,Engenharia de Dados,0.7240385,matched
151,pipelines de dados,52,Orquestração de Pipelines,0.7241252,matched
152,written communication,22,Escrita Profissional,0.74069524,matched
153,large language models,42,Large Language Models,0.73449266,matched
154,emotional awareness,3,Inteligência Emocional,0.7049154,matched
155,change adoption,27,Gestão de Mudanças,0.47975972,no_match
156,own initiative,10,Autogestão,0.54458976,no_match
157,model validation,45,Avaliação de Modelos,0.5566213,no_match
158,ETL development,51,ETL e ELT,0.543316,no_match
159,entender o cliente,15,Foco no Cliente,0.774477,matched
160,customer success mindset,15,Foco no Cliente,0.6452869,no_match
161,gestão do tempo,9,Gestão do Tempo,0.72289777,matched
162,GDPR,89,OKRs,0.32070714,no_match
163,people coaching,0,Gestão de Pessoas,0.5138494,no_match
164,screening candidates,94,Recrutamento e Seleção,0.5427712,no_match
165,scrum master,18,Metodologias Ágeis,0.34901983,no_match
166,testes automatizados,72,Testes Automatizados,0.82125664,matched
167,CNN,68,Infrastructure as Code,0.32880437,no_match
168,cultura e estrutura organizacional,99,Cultura Organizacional,0.8515531,matched
169,looker analytics,78,Looker,0.62588084,no_match
170,self-starter,10,Autogestão,0.5427223,no_match
171,RCA,85,Hugging Face,0.32346714,no_match
